sl,text,Sentiment,Emotion,
1,@SouthwestAir you're my early frontrunner for best airline! #oscars2016,positive,Joy,
2,@USAirways how is it that my flt to EWR was Cancelled Flightled yet flts to NYC from USAirways are still flying?,negative,Anger,
3,@JetBlue what is going on with your BDL to DCA flights yesterday and today?! Why is every single one getting delayed?,negative,Anger,
4,"@JetBlue do they have to depart from Washington, D.C.??",neutral,Others,
5,@JetBlue I can probably find some of them. Are the ticket #s on there?,negative,Anger,
6,@united still waiting to hear back. My wallet was stolen from one of your planes so would appreciate a resolution here,negative,Sadness,
7,@united Yes my flight was rebooked. I'm just losing trust in you if I want to get anywhere on time.,negative,Anger,
8,@JetBlue Thank you ! What about Paris ? Could we arrange something from there ?,neutral,Others,
9,"@united not 100% sure, however my ticket included one checked bag, therefore this charge was extra and completely unanticipated.",negative,Sadness,
10,"@usairways great crew for flight 504 PHX to YVR tonight! Friendly, efficient. Awesome job.",positive,Joy,
11,@USAirways I've been on hold to change a date on a ticket for over 3 hours. Can someone please assist me? Unacceptable.,negative,Anger,
12,@SouthwestAir I DM'd you,neutral,Others,
13,@SouthwestAir Already signed up!  Thanks!  Looking forward to trying the Southwest experience.,positive,Joy,
14,@SouthwestAir it was 3472,neutral,Others,
15,@USAirways Oh well. I'll get to Cancun eventually.,positive,Others,
16,@USAirways flight 837 passengers stuck on plane in Philly. Where is the gangway?  We can't hear the pilot,negative,Anger,
17,"@AmericanAir No, had already waited an hour for it and wanted to get home.",negative,Anger,
18,@SouthwestAir thanks for the quick response. Should I call daily it wait the 5 days.,positive,Joy,
19,@JetBlue now we dont have enough money for parking in your garage this is your fault and im not paying for what should be 10mins into 3hrs,negative,Sadness,
20,@JetBlue 266 at LGB in Sunny So Cal http://t.co/V015PK7DSi,neutral,Others,
21,@AmericanAir @yvonneokaka When do I get my personal response and apology for your crew's having forgotten to load baggage onto my flight?,negative,Anger,
22,"@JetBlue No, he didn't have more info. I was more infuriated by the way previous rep treated me. how she can possibly work as a JetBlue rep?",negative,Anger,
23,@united is a money sucking airline with terrible terrible customer service,negative,Anger,
24,@AmericanAir and btwn gate a8 &amp; a15 I lost a diamond earring #dayjustgotWORSE! Pls have maintenance look for it!! http://t.co/UieSR3GHHO,neutral,Others,
25,"@USAirways #ShoutOut 2 Kristie(sp?) from Gate4 @ PVD today. She's a #RockStar, was a tremendous help in a tough situation. #PromoteThatGirl",positive,Joy,
26,"@USAirways My family, friends and colleagues will NEVER  fly USAir again. Bad weather happens. The good airlines seem to communicate better.",negative,Sadness,
27,"@JetBlue we have just landed, thank you anyway. Btw, flight staff on flight 654 were wonderful despite their full day and heavy load.",positive,Joy,
28,@JetBlue @airbusintheus A320 landing @aruba_airport in February of 2014. #avgeek #warmweather https://t.co/Kaej9G0CHd,neutral,Others,
29,"@SouthwestAir Ahhhh! Sorry, just followed.",neutral,Others,
30,@AmericanAir the ticket is a poor gesture of goodwill (for missed trip) to a top status flyer - I may not next time (AA91 LHR-ORD 2/16),negative,Anger,
31,"@USAirways : When You've Got to Get There, We've Got Excuses! #usairwaysfail",negative,Anger,
32,@JetBlue I'll pass along the advice. You guys rock!!,positive,Joy,
33,@VirginAmerica Just bought tix for ATX - Dallas route - thanks for adding that! Love yr airline &amp; yr website is BEST transactional site EVER,positive,Joy,
34,@JetBlue haha no need to apologize ð I'll be Flight Booking Problems sooner than Late Flightr. I love JetBlue,positive,Joy,
35,@SouthwestAir been on hold  for 2 1/2 hrs. Can't get 2 airport 4 flight icy country backroads! Help pls? Can a human answer? #BNA,negative,Anger,
36,"@SouthwestAir 14 hours????  Sorry don't get it. Oh well. Screw the weekend in Az right?  Eat the hotel, no problem.",negative,Anger,
37,@united No wonder the cabin is filthy. #badservice,negative,Sadness,
38,"@USAirways do you operate ANY flights without maintenance issues? Flights in/out of DCA Cancelled Flighted, this is getting old. Update fleet pls!",negative,Anger,
39,@united or I'm sure her business will go else where for airline travel. Her name is Kathryn Sotelo,negative,Anger,
40,"@USAirways: I relied on US Airways, and that was my mistake. Awful customer experience.",negative,Sadness,
41,@AmericanAir my flight to DFW from LIT on my way to PDX tomorrow was Cancelled Flighted. Can you help me?,negative,Anger,
42,@united very poor customer service. I WILL think again befor Flight Booking Problems another United flight.,negative,Sadness,
43,@united Joni did a great job on flight 5653 to LAX. Thanks for a great flight.,positive,Joy,
44,@united A broken luggage and a mild case of food poisoning from UA5 LHR-IAH. Who can I email about this?,negative,Anger,
45,@SouthwestAir traditionally used sledge hammer - low $ taking share from driving , now scalpel approach through data science  #ANAmarketers,neutral,Others
46,@SouthwestAir thanks for the info and the quick response!,positive,Joy,
47,"@JetBlue Great Thank you, lets hope so! Could you please notify me if flight 2302 leaves JFK? Thank you again",positive,Joy,
48,@united So you are inadequate by accident?,negative,Anger,
49,@united coupled with self-service policies/cost cutting exacerbates the noted issues. (3/3),negative,Anger,
50,@AmericanAir Can't unload flight #3322 because jetway is broken.  #steps #planB? #waiting nearly an hour,negative,Sadness,
51,@united did not get names...Dallas flight and Chicago,neutral,Others,
52,@JetBlue can we get a honest update on departure of flite 454. Been on plane with infant children,negative,Anger,
53,"@VirginAmerica lost my luggage 4 days ago on flight VX 112 from LAX to IAD &amp; I'm calling every day, no response.Please give me back my stuff",negative,Anger,
54,@AmericanAir ahhhh your silence is golden now.  This tops it all.  Anyone get fired?,negative,Anger,
55,@united landed in Boston at 9 last night.  The 15 hours of traveling was rough tho.,negative,Anger,
56,@USAirways nice touch with using my first name.  Very intimate.  I'll be filing a claim soon to be reimbursed. Have a us airways day!,positive,Joy,
57,"@united also, the mere fact that I have to go online to issue a statement vice calling and talking to some directly is one good example.",negative,Anger,
58,@JetBlue I will. Thank you!,positive,Joy,
59,@USAirways It was US 893. The gate was open after about 50 mins waiting. What a great way to finish an 18 hour delayed arrival!!,negative,Anger,
60,@JetBlue flight 705. EWR to FLL,neutral,Others,
61,@SouthwestAir I've been on hold with customer service for over an hour. Can you help?!,negative,Anger,
62,"@united hey, I missed my outbound flight - can I still use my return ticket?",neutral,Others,
63,@JetBlue  Alright I hope. My JetBlue app is showing a change in my seats and online shows an a320.  Don't want any surprises,neutral,Others,
64,@SouthwestAir Is there a way to receive a refund on a trip that was Cancelled Flight online instead of calling? Your phone lines are super busy.,negative,Anger,
65,@united thanks! Makes sense. Just annoying that it can't be determined better.,negative,Anger,
66,@USAirways you would rather a while plane get exposed to a nasty contagious virus then work wth me to get my flight changed to a Late Flightr date,negative,Anger,
67,@AmericanAir 3127. Just landed in LIT.,neutral,Others,
68,@SouthwestAir your gate agent re-routed an impossible itinerary and we had to find a new airline to get us home. Super bummed about this,negative,Anger,
69,@JetBlue Apparently the pilot had made some announcement about engine trouble and losing fuel too quickly.,negative,Anger,
70,@VirginAmerica a brilliant brisk am in Boston in cue for vx363 http://t.co/rMZNIVGmg6,neutral,Others,
71,@AmericanAir stiiiil waiting. Please respond as my flight leaves in 2 1/2 hrs,negative,Anger,
72,"@SouthwestAir I need to Cancelled Flight one leg of a flight, but can't seem to do this online. Been on hold on the phone for 10 minutes. Any help?",negative,Sadness,
73,"@AmericanAir Cancelled Flights my flight, doesn't send an email, text or call. Now I'm stranded in Louisville.",negative,Anger,
74,@JetBlue bag is supposedly here in Boston,negative,Anger,
75,@united Does customer care have email or a phone rep that I can speak with? We had so many issues they can't be placed in 2000 characters?,negative,Anger,
76,@united the lounge tells us they have no pillows for my grandma as one of the ladies opens the closet and I see 2 right there. #unitedlies,negative,Anger,
77,@AmericanAir you are beyond redemption. Jfk. Baggage claim looks like a luggage warehouse,negative,Anger,
78,@VirginAmerica what is your policy on flying after surgery?,neutral,Others,
79,@United #1758 now going in 40 min waiting for other plane to vacate gate. #findanothergate,negative,Anger,
80,@AmericanAir that luggage you forgot...#mia.....he just won an oscarðððð,negative,Anger,
81,@JetBlue I'm #MakingLoveOutofNothingAtAll on my #brandloveaffair to #LAX https://t.co/kdHRUF54sW,positive,Joy,
82,"@SouthwestAir you should have assigned seating, because now my cousin &amp; I probably can't sit together on our flight tomorrow.. Thanks.",neutral,Others,
83,@USAirways My flight cost me just under $800 and this is what happens? I fly with @united and have no problems. I come the US 4-5 times...,negative,Sadness,
84,@USAirways Not only did u lose the flight plan! Now ur flight crew is FAA timed out! Thx for havin us sit on the tarmac for an hr! #Pathetic,negative,Anger,
85,@united I was. But I have given up.,negative,Anger,
86,"@AmericanAir FYI twice now I've tried the ""we'll call you when someone is free"" thing. Both times it called, I picked up, then it hung up.",negative,Anger,
87,"@AmericanAir - So does that mean your other flights going into Buffalo from other locations, you don't care about their safety?",negative,Anger,
88,"@united 2100$ ticket,12h biz trvl,no wifi.Missed con flt,next one#24h,missed meeting,7$ food voucher,hotel chkout#12,flt#5,no wifi#hotel",negative,Anger,
89,@AmericanAir an hour at baggage carousel and still no luggage?? Nail in the coffin.,negative,Anger,
90,"@AmericanAir ""Airport snow removal method #22...""
Keep up the good work folks, this is where Cessna's become 747's! http://t.co/oUmC1LrXDN",positive,Joy,
91,@SouthwestAir That would be brighter than all the stars combined on the red carpet tonight!,positive,Joy,
92,@USAirways I've called to resolve my dividend miles issue for a week to no avail.  Please advise ASAP.,negative,Anger,
93,@JetBlue she's standing here on her cell no announcements no info #thismosaicnothappy,negative,Sadness,
94,"@USAirways as the employee responsible for social media content, yes u probably do care however the actions from last night say otherwise",negative,Anger,
95,@USAirways Will do :),positive,Joy,
96,@AmericanAir And gold status too.,neutral,Others,
97,"@AmericanAir Been trying to call all day, get hung up on every time. Your guys are horrible!",negative,Anger,
98,@SouthwestAir here we go again. Delayed in Chicago why offer the 630 flight if you never intend to fly it,negative,Anger,
99,@SouthwestAir 4467 and 152 on 2/25 and 503 and 25 on 2/26th.,neutral,Others,
100,@united haha and you have to clean a plane that was held overnight in a hangar. Sounds lovely. Also don't lie on screensand say it's weather,negative,Anger,
101,@SouthwestAir I was trying to find airfare for my family.  Your prices are ridiculous!  Almost $1000 more than @USAirways. #notmadeofmoney,negative,Anger,
102,@AmericanAir if you could let me know where I'm staying tonight (if you've booked anything) that would be great. Do I have to go to the,neutral,Others,
103,"@JetBlue @shannonwoodward I'll be checking often. Most probably when they hand the oscars out to the nerds, geeks and badly dressed.",neutral,Others,
104,"@united what you did was illegal and a breach of contract. I will be in touch but not through your ""customer feedback""",negative,Sadness,
105,@united Wife and I have two new destinations and I'm stuck in DC until Monday with no bags,negative,Anger,
106,"@USAirways @msscottwg  ""That's unusual"" means we screwed up but will never admit to it!  #GoingForGreatnessFAIL",negative,Anger,
107,@SouthwestAir Why won't you let me leave Newark!?,negative,Sadness,
108,"@AmericanAir Yes, but should be able to get a push notification via the app if Iâm logged in and on a trip. Email/text is so 2010 ð¥.",negative,Anger,
109,@united sat at airport for 5 hrs still sitting at gate..  Sigh,negative,Anger,
110,@SouthwestAir Your Terry is our hero! Got my husband back thru security to retrieve cellphone left on plane in Austin. Terry #85832 U Rock!,positive,Joy,
111,.@AmericanAir Flight 654 Delayed / Flight 409 You sold my seat / flight 0671 strand me in PHX for three hours. Thanks for the memories ð¡ð¤ðð²ð©,negative,Anger,
112,@VirginAmerica to jump into the Dallas-Austin market - @Dallas_News http://t.co/EwwGi97gdx,neutral,Others,
113,"@USAirways I fly quite a bit, and it's not difficult to communicate. If agents let people know what's happening, arrangements can be made",negative,Sadness,
114,@AmericanAir your message was delayed I just responded,neutral,Others,
115,"@AmericanAir That's a complete cop out! U ask what the issues are, then do nothing about it. How are we supposed to sort the situation now?",negative,Anger,
116,@SouthwestAir This experience was the worse flying experience I've ever had. To be met w/ contempt from your Customer Service makes it worse,negative,Anger,
117,"@JetBlue 162, SMF to JFK!",positive,Joy,
118,@JetBlue word thanks,positive,Joy,
119,"â@united: @rikrik__ What made you come to this? Can we help you with anything? ^JPâ free tickets , for the i convince .",neutral,Others,
120,@united you guys are horrible! First we get stuck in the snow for a hr in ewr now sitting in cmh saying it could be 30min for a gate,negative,Sadness,
121,"@united - vacation days: relevant, Ritz in PR for the night: $700, losing a day to idiots and sleeping at the Newark ramada; #priceless",negative,Anger,
122,@SouthwestAir baggage delivery at BWI very delayed and unnecessarily chaotic. Disappointing after a long trip! From a frequent traveler,negative,Anger,
123,@JetBlue u suck Big Donkey Balls!,negative,Anger,
124,"@JetBlue I flew to San Francisco from Fort Lauderdale with you last year, had a fantastic time so would like to go back !",positive,Joy,
125,@united please don't take my membership away :(,negative,Anger,
126,@SouthwestAir Any plans to implement a call-back system on your reFlight Booking Problems line? Been on hold for over an hour now...,negative,Sadness,
127,@USAirways any plans to support #ApplePay on board? I have the USAirways MC and it would be nice to still use it if I forget the card.,neutral,Others,
128,@united Do you have Bereavement discount on airfare as my grandfather just passed and need to attend his funeral this week.,neutral,Others,
129,@united trying to check in for tomorrow's flight. website keeps timing out. what's up?,negative,Sadness,
130,@USAirways pretty sure we didn't actually take off at 7:10 http://t.co/vuxf4r4Unu,negative,Anger,
131,@JetBlue try harder. Take a winners attitude to your work.,neutral,Others,
132,@united 2nd time in a row  I've been over charged by 100's of $$ on my plane ticket WHY? #united I shouldn't have to check my CC everytime,negative,Anger,
133,Includes @KCIAirport â@SouthwestAir: Inclement weather may impact scheduled service in. ReFlight Booking Problems options available: http://t.co/KeyrpFlHilâ,negative,Sadness,
134,@AmericanAir thanks,positive,Joy,
135,"@USAirways @ClaudOakeshott don't need this link, after getting a person u now say u don't know where bags are. Lost on a nonstop phx to jfk.",negative,Anger,
136,@USAirways very embarrassing.,negative,Anger,
137,@united if I miss the #Oscars I'll never fly united again,negative,Anger,
138,@AmericanAir I would like to be reimbursed for my shuttle from Denver after #1080 diversion 6+ hours sitting in plane and mech problems,negative,Anger,
139,@AmericanAir Thanks for the response.Tough night for all involved. Our flight got Cancelled Flightled as we started taxiing down the runway.,negative,Anger,
140,@United. What's going on with UA 236?  outbound flight last thurs was delayed 4hrs How long will this delay be? #worst2unitedflightsever,negative,Anger,
141,@united I would like to know what's going on before his current flight lands.,neutral,Others,
142,@SouthwestAir Are there any current promotions/codes for Nashville-Denver? Thank you!,neutral,Others,
143,@AmericanAir flights out of Dallas on Tuesday are not going to be Cancelled Flightled correct?,neutral,Others,
144,@SouthwestAir how about some sweet promo code to help me visit my family!!!.... Please!!!... Lol,neutral,Others,
145,"@AmericanAir oh I will, AA on speed dial",neutral,Others,
146,@AmericanAir your service is horrible. I can't get a straight answer from your ground agents.,negative,Anger,
147,@SouthwestAir What is the best credit card to use/open to get miles with y'all?,neutral,Others,
148,@AmericanAir Of course you are because that's your companies job! You guys failed at it in the first place. Upgrade me and then we'll talk.,neutral,Others,
149,@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.,negative,Anger,
150,"Is it insulting that @USAirways @AmericanAir offer a ""non required $50 voucher as a goodwill offering..At least my bag can fly round trip",negative,Anger,
151,@united is the worst. Nonrefundable First class tickets? Oh because when you select Global/FC their system auto selects economy w/upgrade.,negative,Anger,
152,@AmericanAir how do you NOT do maintenance on #MD80 while it sits for two days? Frozen lines found after its boarded? Come on! #faail #mci,negative,Anger,
153,@AmericanAir why did you drop my call. Why don't you have more people answering phones? Why is it always high call volume when I call,negative,Anger,
154,@SouthwestAir y'all the real MVP with these prices...,positive,Joy,
155,"@JetBlue if I had my tux, it'd be a date! #UMosaicMeCrazy http://t.co/hap4gboSTU",positive,Joy,
156,@AmericanAir on Feb. 15th your rep gave me the record locator and told me I'd be receiving an email with the itinerary and confirmation.,negative,Anger,
157,@AmericanAir fantastic thanks! Will try and tweet a photo of the view :),positive,Joy,
158,@USAirways FYI your customer service rep Carol is an absolute delight. So pleasant to with with and rebooked me in lightning speed! Thanks!,positive,Joy,
159,@JetBlue its always a pleasure âºï¸,positive,Joy,
160,@VirginAmerica they told to check with the airline regulation first so that is why I contacted you.,neutral,Others,
161,@SouthwestAir hot stewardess flipped me off,positive,Joy,
162,@USAirways We're having 2 grandbabies in 2 weeks -- will travel to DC for the births. Thank you for the reasonable fares!  See you Saturday!,positive,Joy,
163,@united Bag MIA since Wednesday. Still no word where it is or if we'll ever see it again. #lostluggage #frustrated,negative,Sadness,
164,@JetBlue do you have any afternoon flights going from BQN to JFK? I only seem to find early morning flights.,neutral,Others,
165,"@AmericanAir thanks.  I actually made it, my connection flight was delayed.  Guess all delays are not a bad thing. http://t.co/XGgCNTco8m",positive,Joy,
166,@united stuck in YYZ because staff took a break? Not happy 1K....,negative,Anger,
167,@united I am appalled at your lack of communication during our awful journey on 2/21 EWR to BOS. 4 hr delays need to be explained better.,negative,Anger,
168,"@USAirways my flight got Cancelled Flightled to Charlotte. Been on hold for an hour, pls pick up!",negative,Sadness,
169,@AmericanAir Such a suprise! New vanity kit set for frequent travellers ð thank you AA! http://t.co/fA7Nygn1Ux,positive,Joy,
170,@united please tell CLT flight 4232 needs a gate. Waiting now for 15 mins.,negative,Anger,
171,@JetBlue's CEO battles to appease passengers and Wall Street - Waterbury Republican American http://t.co/FFc13zYGJS,neutral,Others,
172,"@JetBlue big shoutout to the crews on 2017 Bos&gt;jfk &amp; 486 jfk&gt;roc, &amp; gate crews at c19 Bos &amp; 6 jfk. Long day of delays made better by them!",positive,Joy,
173,"@USAirways it's not a consolation because my bags are somewhere else, which is a real impediment to me going on a different vacation",negative,Anger,
174,"@USAirways delayed my flight 3 times before Cancelled Flighting it, had angry and rude workers, and are now providing no helpful service at all",negative,Anger,
175,@united Bummer. Might have to go with @AmericanAir card instead. TY for response though.,negative,Anger,
176,@AmericanAir Flight 236 was great. Fantastic cabin crew. A+ landing. #thankyou #JFK http://t.co/dRW08djHAI,positive,Joy,
177,@SouthwestAir @flightspots about time! #mobileboarding is a must!,neutral,Others,
178,@USAirways @TheHaileyTate Another blatant lie from @USAirways,negative,Anger,
179,@united ok thanks! Where are you counters located? And how Late Flight are they open?,neutral,Others,
180,@USAirways - I wouldn't need to wait on hold for 6+ hours if your website worked correctly - please respond!,negative,Sadness,
181,"@AmericanAir once again flying AA4285, once again 60+ min delay because of mechanical issues. Perhaps you should consider maintenance?",negative,Anger,
182,"@united Brian at SFO customer service deserves a raise, gave me extra meal voucher and a good joke to cheer me up after flight delay. #FTW",positive,Joy,
183,@SouthwestAir I know one thing @Delta would NEVER treat their customers like this!!!!,negative,Anger,
184,@SouthwestAir The pilots&amp; crew on flt 3999 and customer service professionals at baggage claim are OUTSTANDING!! Thank you!!,positive,Joy,
185,@united - after having to now TAG MY OWN bags at the airport I was hoping they would actually arrive WITH me - here's hoping they arrive,negative,Anger,
186,@JetBlue I'll read this over a nice glass of wine right before I dig my heels into my next novel! Maybe travel is just what I need...,neutral,Others,
187,@USAirways @AmericanAir what a joke of a company today reminded me why I never book with you,negative,Anger,
188,@united I locked myself out of my account and needed access to book a flight.,negative,Sadness,
189,@AmericanAir why Cancelled Flight #1605 on 6/25 &amp; 6/28? Flights now 4 hrs longer &amp;  have layovers. Too Late Flight to find a reasonably priced alternative.,negative,Anger,
190,@JetBlue how can your entire system go down? No IT? Really?,negative,Anger,
191,"@united Oh, we are sure it's not planned, but it occurs absolutely consistently, it's usually the only YYJ flight that's Cancelled Flightled daily.",negative,Sadness,
192,@SouthwestAir I have never had such awful customer service and conflicting service. Outrageous.,negative,Anger,
193,@JetBlue my SIL bought tix for us to NYC. We were told at the gate that her cc was declined. Supervisor accused us of illegal activity.,negative,Anger,
194,"@JetBlue im in a session presented by one of your beloved travelers, @paulgordonbrown,I see why you love him so much http://t.co/vv8cFyhKVb",positive,Joy,
195,@united I'm rebooked on a flight tomorrow even though I had 1st class seat orig I have a lousy coach seat,negative,Sadness,
196,"@united here I was thinking how I could say so many nice things after getting upgraded, but then you delayed my flight... It's ok!",negative,Anger,
197,"@USAirways flight #703 Philly -&gt; Mia? Bwahahaha! Delayed 5+ hrs, were in the air 30 mins then turned back around. #usairwaysfail",negative,Anger,
198,@united I will. Thanks.,positive,Joy,
199,@united well this one missed the mark.  She was in a snit from the minute I stepped up to the counter,negative,Anger,
200,@united thanks for having ground crews that are surprised when flights arrive. #beingsuckontarmacsucks!,negative,Anger,
201,"@united I am flying from msp to dxb, my child will turn 2 during the trip do I have to buy a return ticket for my child?",neutral,Others,
202,@SouthwestAir Thanks!!! :)  It is good to air on the side of caution,neutral,Others,
203,@JetBlue Airways Hits New 12-Month High at $17.58 (JBLU) - WKRB News http://t.co/XvBjCzlMDA,neutral,Others,
204,@JetBlue do bags still fly free or have you started charging? thanks!,neutral,Others,
205,@united DM sent. Thanks so much for the strong customer service!!,positive,Joy,
206,@united load balancing system apparently down #systemwide - major impact on all #united airlines flights. Was this a #cyberattack?,negative,Anger,
207,"@USAirways between 3 of us, it is costing over $1000 to get home TODAY for no reason... Where do I send my receipts to be reimbursed?",negative,Anger,
208,@united okay. Thanks.,neutral,Others,
209,"@united I can't even fit my name on the first two lines, yes... Please do pass on feedback. This is a big downgrade from previous years.",negative,Anger,
210,@AmericanAir who do I need to talk to to get a full refund on my trip? Your call center offers no assistance.,negative,Anger,
211,@USAirways no more hotel voucher? Everyone had to get one but not me...what do I do? Arrived from Amsterdam #SnowStorm,negative,Sadness,
212,@AmericanAir She seems a little preoccupied - that's why I'm bringing it to your attention. I am just flagging an issue as an observer.,negative,Anger,
213,@JetBlue's new CEO Robin Hayes battles to appease passengers and Wall Street - Business In Savannah http://t.co/KKAY8XaPs1,neutral,Others,
214,@USAirways thank you for the apology,neutral,Others,
215,@SouthwestAir 4-4 in horrible customer service. Empty seats in early flight wantcharge me double to get home early instead the usual Late Flight,negative,Anger,
216,@JetBlue Love you guys sooooooo much. Ridiculously appreciated! A+ service!,positive,Joy,
217,"@USAirways yes, thanks but took forever",negative,Sadness,
218,"@JetBlue it seems I never received an ID, just a password.",negative,Anger,
219,"@united You cause me to miss my flight telling me it already left when it had not. No empathy from gate staff or crew, no apology. Really?",negative,Sadness,
220,@USAirways I been on hold with U for 40mins wasting my time and $ &amp; I don't appreciate it #WheresTheCustomerServiceAt http://t.co/phI2IfNjIT,negative,Anger,
221,@USAirways why the hell u left *alliance and joined 1world is beyond me not a smart move time to start looking at other carriers,negative,Anger,
222,".@AmericanAir No. I watched these bags be abandoned at depart gate. Watched for &gt;40 mins until owner returned, 20+ mins after I reported",negative,Anger,
223,"@AmericanAir looking for status of flight 1388 schedule for 5:15 am tomorrow morning, thank you",neutral,Others,
224,@USAirways : You Make the Reservation; We'll Make the Excuses! #usairwaysfail,negative,Sadness,
225,@AmericanAir i got a new reservation for tomorrow. Thanks!,positive,Joy,
226,@USAirways it doesn't take 6 days to respond to an already open case!,negative,Anger,
227,@USAirways Are you guys awake? Need help with delayed flight to get protected on Late Flightr flight from PHL.,negative,Anger,
228,@JetBlue I can't. I don't have acces to a phone rn. My iPhone broke. :/ would rather change it now then Late Flightr.,neutral,Others,
229,@united I just want to contact someone with a question &amp; not be put on hold for 5 minutes in order to be hung up on or sent to the pet line,negative,Sadness,
230,@United Is Changing Its #MileagePlus Program: Winners and Losers http://t.co/38OTLzAK5d #airline #travel #loyalty #rewards,neutral,Others,
231,@AmericanAir my flight has been delayed &amp; I can't talk reach anyone in customer service because of high call volume.,negative,Anger,
232,@JetBlue What's your current checked bag price policy?  I fly this coming week and couldn't find anything definitive.,neutral,Others,
233,@VirginAmerica at Logan airport and waiting to checkin for my 9am flight. Checkin desk not open !!!!! Why?!,negative,Anger,
234,ð©ð©ð© â@JetBlue: Our fleet's on fleek. http://t.co/46am1BSi2Gâ,neutral,Others,
235,"@USAirways help! Flight Cancelled Flighted, can't call because my phone doesn't work in Europe. Please help? Says I'm booked want to confirm.",negative,Anger,
236,@united plus what about food? And taxis?,negative,Sadness,
237,"@SouthwestAir: Tried for VIP Live in The Vineyard but yr site went down, by the time I got in 2 redeem pts those packages gone.",negative,Anger,
238,"@SouthwestAir Secondly, we did not begin boarding on time despite our aircraft being present and deplaned. Thus we left over 30 min Late Flight",negative,Anger,
239,@united calling that number was useless. Heading to the airport now to pick up my bags. this whole situation seems like a real joke.,negative,Sadness,
240,"@AmericanAir if i want to change my flight due to weather conditions in Dallas this weekend, i should be able to cover change fee with miles",neutral,Others,
241,"@southwestair Hi, how do I add a flight to my account? Just created it",neutral,Others,
242,@USAirways how about checking the plane before having everyone board the plane? #pissed,negative,Anger,
243,@JetBlue @KyleJudah new stroller. The travel credit doesn't help cover the cost of a new stroller. Your crew ruined it and therefore should,negative,Anger,
244,"@AmericanAir every time I try to call, it tells me to try again Late Flightr and just hangs up.",negative,Anger,
245,@VirginAmerica partners with @Visa Checkout as mobile payment method to help boost mobile conversion rates #etailwest #payments #visa,neutral,Others,
246,@united I did and then she made me feel guilty because it was economy plus and I didn't pay for the extra leg room,negative,Sadness,
247,"@SouthwestAir I know it is hard to predict, but how are flights from Dallas to Nashville tomorrow AM?",neutral,Others,
248,@AmericanAir Airline trouble this winter &amp; not getting good customer service? contact http://t.co/aQjn4HwNaC  we negotiate w/companies forU!,negative,Anger,
249,"@united why doesn't my daughter, booked with my gold member miles, get on the upgrade list for her flight tomorrow?",negative,Anger,
250,"@united UA flight 1247. SFO to LAX took my carry on at gate. I'm Group 2, overhead bins are empty",neutral,Others,
251,@SouthwestAir today you sporadically changed my flight departure 5 times &amp; left two hours Late Flight. Uncharacteristic of u http://t.co/TXhYJ40llG,negative,Anger,
252,"@united considering I'm now stuck in Newark with virtually sleep in 30+ hours, I doubt it :/ hope car rentals are available",negative,Sadness,
253,@AmericanAir @dfwairport you 2 together are the best part of flying!,positive,Joy,
254,@USAirways been on hold for over and hour now.,negative,Sadness,
255,@americanair just tried calling. got a high call volume at this moment message and then it said goodbye and hung upâ¦,negative,Sadness,
